_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	pam_cluster	medoid
destroy.bound10-10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3671302958798661	0.5004195416749541	NA	NA	TRUE	BOW	weight	all	10-10	FOC	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIno.LENGTH5000.SOCPOSall	0.1865786143299098	1.4298291329648656	NA	NA	TRUE	BOW	no	lex	10-10	5000	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIno.LENGTH5000.SOCPOSnav	0.16189202039284115	1.2659602421955745	NA	NA	TRUE	BOW	no	lex	10-10	5000	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIno.LENGTHFOC.SOCPOSall	0.02041621707537675	1.0831278713536925	NA	NA	TRUE	BOW	no	lex	10-10	FOC	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.0012931257792410198	1.0802285647077956	NA	NA	TRUE	BOW	no	lex	10-10	FOC	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIselection.LENGTH5000.SOCPOSall	0.07257563169425636	0.8822854872401273	NA	NA	TRUE	BOW	selection	lex	10-10	5000	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.08286703105232358	0.8184462550386938	NA	NA	TRUE	BOW	selection	lex	10-10	5000	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.011710399748365557	0.7333652870581514	NA	NA	TRUE	BOW	selection	lex	10-10	FOC	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.02255637979436205	0.7459765857930412	NA	NA	TRUE	BOW	selection	lex	10-10	FOC	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.0206499550646698	0.6576789260408136	NA	NA	TRUE	BOW	weight	lex	10-10	5000	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.014331838475836802	0.658200747696509	NA	NA	TRUE	BOW	weight	lex	10-10	5000	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.09183003027100958	0.7030055174196939	NA	NA	TRUE	BOW	weight	lex	10-10	FOC	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.10446019576626595	0.7262424524658391	NA	NA	TRUE	BOW	weight	lex	10-10	FOC	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIno.LENGTH5000.SOCPOSall	1.1730704871987396	-1.8623230180380732	NA	NA	TRUE	BOW	no	all	3-3	5000	all	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.bound3-3all.PPMIno.LENGTH5000.SOCPOSnav	1.115941028549474	-1.8348817991316761	NA	NA	TRUE	BOW	no	all	3-3	5000	nav	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.bound3-3all.PPMIno.LENGTHFOC.SOCPOSall	1.0808003480907218	-1.2612677297959738	NA	NA	TRUE	BOW	no	all	3-3	FOC	all	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
